[INFO ] 2019-09-22T09:42:21,081 [Thread-2] Client - 27 176
[INFO ] 2019-09-22T09:42:21,228 [Thread-2] Client - 27 147
[INFO ] 2019-09-22T09:42:21,405 [Thread-2] Client - 27 177
[INFO ] 2019-09-22T09:42:21,577 [Thread-2] Client - 27 172
[INFO ] 2019-09-22T09:42:21,747 [Thread-2] Client - 27 170
[INFO ] 2019-09-22T09:42:21,937 [Thread-2] Client - 27 189
[INFO ] 2019-09-22T09:42:22,129 [Thread-2] Client - 27 191
[INFO ] 2019-09-22T09:42:22,333 [Thread-2] Client - 27 203
[INFO ] 2019-09-22T09:42:22,489 [Thread-2] Client - 27 156
[INFO ] 2019-09-22T09:42:22,693 [Thread-2] Client - 27 203
[INFO ] 2019-09-22T09:42:22,913 [Thread-2] Client - 27 220
[INFO ] 2019-09-22T09:42:23,135 [Thread-2] Client - 27 222
[INFO ] 2019-09-22T09:42:23,319 [Thread-2] Client - 27 183
[INFO ] 2019-09-22T09:42:23,482 [Thread-2] Client - 27 163
[INFO ] 2019-09-22T09:42:23,634 [Thread-2] Client - 27 151
[INFO ] 2019-09-22T09:42:23,822 [Thread-2] Client - 27 188
[INFO ] 2019-09-22T09:42:23,999 [Thread-2] Client - 27 176
[INFO ] 2019-09-22T09:42:24,156 [Thread-2] Client - 27 157
[INFO ] 2019-09-22T09:42:24,308 [Thread-2] Client - 27 152
[INFO ] 2019-09-22T09:42:24,454 [Thread-2] Client - 27 145
[INFO ] 2019-09-22T09:42:24,624 [Thread-2] Client - 27 170
[INFO ] 2019-09-22T09:42:24,830 [Thread-2] Client - 27 205
[INFO ] 2019-09-22T09:42:24,994 [Thread-2] Client - 27 164
[INFO ] 2019-09-22T09:42:25,178 [Thread-2] Client - 27 184
[INFO ] 2019-09-22T09:42:25,326 [Thread-2] Client - 27 148
[INFO ] 2019-09-22T09:42:25,474 [Thread-2] Client - 27 146
[INFO ] 2019-09-22T09:42:25,660 [Thread-2] Client - 27 186
[INFO ] 2019-09-22T09:42:25,850 [Thread-2] Client - 27 190
[INFO ] 2019-09-22T09:42:26,034 [Thread-2] Client - 27 184
[INFO ] 2019-09-22T09:42:26,198 [Thread-2] Client - 27 163
[INFO ] 2019-09-22T09:42:26,367 [Thread-2] Client - 27 169
[INFO ] 2019-09-22T09:42:26,554 [Thread-2] Client - 27 187
[INFO ] 2019-09-22T09:42:26,710 [Thread-2] Client - 27 156
[INFO ] 2019-09-22T09:42:26,903 [Thread-2] Client - 27 191
[INFO ] 2019-09-22T09:42:27,058 [Thread-2] Client - 27 155
[INFO ] 2019-09-22T09:42:27,218 [Thread-2] Client - 27 159
[INFO ] 2019-09-22T09:42:27,373 [Thread-2] Client - 27 155
[INFO ] 2019-09-22T09:42:27,615 [Thread-2] Client - 27 240
[INFO ] 2019-09-22T09:42:27,809 [Thread-2] Client - 27 194
[INFO ] 2019-09-22T09:42:28,045 [Thread-2] Client - 27 235
[INFO ] 2019-09-22T09:42:28,199 [Thread-2] Client - 27 154
[INFO ] 2019-09-22T09:42:28,369 [Thread-2] Client - 27 169
[INFO ] 2019-09-22T09:42:28,578 [Thread-2] Client - 27 208
[INFO ] 2019-09-22T09:42:28,739 [Thread-2] Client - 27 161
[INFO ] 2019-09-22T09:42:28,895 [Thread-2] Client - 27 156
[INFO ] 2019-09-22T09:42:29,080 [Thread-2] Client - 27 184
[INFO ] 2019-09-22T09:42:29,260 [Thread-2] Client - 27 179
[INFO ] 2019-09-22T09:42:29,457 [Thread-2] Client - 27 195
[INFO ] 2019-09-22T09:42:29,689 [Thread-2] Client - 27 232
[INFO ] 2019-09-22T09:42:29,862 [Thread-2] Client - 27 173
[INFO ] 2019-09-22T09:42:30,016 [Thread-2] Client - 27 154
[INFO ] 2019-09-22T09:42:30,192 [Thread-2] Client - 27 175
[INFO ] 2019-09-22T09:42:30,389 [Thread-2] Client - 27 196
[INFO ] 2019-09-22T09:42:30,617 [Thread-2] Client - 27 228
[INFO ] 2019-09-22T09:42:30,808 [Thread-2] Client - 27 190
[INFO ] 2019-09-22T09:42:31,034 [Thread-2] Client - 27 226
[INFO ] 2019-09-22T09:42:31,186 [Thread-2] Client - 27 152
[INFO ] 2019-09-22T09:42:31,339 [Thread-2] Client - 27 153
[INFO ] 2019-09-22T09:42:31,535 [Thread-2] Client - 27 195
[INFO ] 2019-09-22T09:42:31,690 [Thread-2] Client - 27 155
[INFO ] 2019-09-22T09:42:31,838 [Thread-2] Client - 27 148
[INFO ] 2019-09-22T09:42:32,001 [Thread-2] Client - 27 162
[INFO ] 2019-09-22T09:42:32,153 [Thread-2] Client - 27 152
[INFO ] 2019-09-22T09:42:32,305 [Thread-2] Client - 27 152
[INFO ] 2019-09-22T09:42:32,515 [Thread-2] Client - 27 210
[INFO ] 2019-09-22T09:42:32,713 [Thread-2] Client - 27 197
[INFO ] 2019-09-22T09:42:32,902 [Thread-2] Client - 27 189
